748265448924389377,,None,"Dresden, Sachsen","RT @WillRobar: 👍 Das Problem heißt Islam, Moslem, Musel
#IslamGoHome🚀
#merkelmussweg🚀
#Remigration
#stopislam
#StoppUmvolkung https://t.co/…"
748264630758350848,,None,"Berlin, Germany","RT @WillRobar: 👍 Das Problem heißt Islam, Moslem, Musel
#IslamGoHome🚀
#merkelmussweg🚀
#Remigration
#stopislam
#StoppUmvolkung https://t.co/…"
748247639335051264,,None,,RT @MartinaHuber15: Ach nein🙈Wer hat daf.gesorgt dass sich Juden inDE wied.fürcht.müssen❓🙄 #stopislam #stoptmerkel @JuedischeOnline #AfD ht…
748244951318859776,,None,"Bayern, Landshut",Ach nein🙈Wer hat daf.gesorgt dass sich Juden inDE wied.fürcht.müssen❓🙄 #stopislam #stoptmerkel @JuedischeOnline #AfD https://t.co/RjKW6qw7bw
748243468590415872,,None,Germany,RT @CH2CH2CH2CH2CH2: Die verkannte Gefahr #StopIslam #Islamisierung #Diktatur #Merkel  https://t.co/Of5S2hAqVK
748242853344714753,,None,,RT @balleryna: .@SteinbachErika Danke f.d. mutigen Worte gg.grüne #Kinderschänder+arabische #Vergewaltiger! #rapefugees #Pädophilie #Islam…
748242564998914048,,None,Augsburg,RT @CH2CH2CH2CH2CH2: Die verkannte Gefahr #StopIslam #Islamisierung #Diktatur #Merkel  https://t.co/Of5S2hAqVK
748242124194349056,,None,"Limburg, Nederland",Wo bleiben unsere intellektuelle Elite?Ausgestorben?Oder geistig umnachtet? #StopIslam #Islamisierung #Islam  https://t.co/JUfspYTM3K
748239086218022916,,None,"Limburg, Nederland",Die verkannte Gefahr #StopIslam #Islamisierung #Diktatur #Merkel  https://t.co/Of5S2hAqVK
748225659718213632,,None,"Saxony,Germany","RT @WillRobar: 👍 Das Problem heißt Islam, Moslem, Musel
#IslamGoHome🚀
#merkelmussweg🚀
#Remigration
#stopislam
#StoppUmvolkung https://t.co/…"
748224017472036864,,None,Berlin-Москва-Киiв,RT @mundaufmachen: Feige Debatte im Bundestag zeigt: #AfD muss in den BT! #KölnHbf #Islam #rapefugees #Sexualstrafrecht #NeinHeisstNein htt…
748222664523784193,,None,Deutschland Berlin,"RT @WillRobar: 👍 Das Problem heißt Islam, Moslem, Musel
#IslamGoHome🚀
#merkelmussweg🚀
#Remigration
#stopislam
#StoppUmvolkung https://t.co/…"
748218527417511936,,None,Deutschland,"👍 Das Problem heißt Islam, Moslem, Musel
#IslamGoHome🚀
#merkelmussweg🚀
#Remigration
#stopislam
#StoppUmvolkung https://t.co/kpKpsnGt01"
748209466701676544,,None,"Nürnberger Land, Bayern",RT @Synelly: Schade um das schöne Island. #StopIslam https://t.co/cP75rUWplN
748208959736131584,,None,Europa,RT @Synelly: Schade um das schöne Island. #StopIslam https://t.co/cP75rUWplN
748208063086235649,,None,Germany,Schade um das schöne Island. #StopIslam https://t.co/cP75rUWplN
748185479917502465,,None,"Lissabon, Portugal",RT @CH2CH2CH2CH2CH2: Merken die Menschen überhaupt was passiert #Asyl #StopIslam #Islamisierung  https://t.co/RWNzdsjW9x
748167889753092096,,None,"Berlin, Deutschland","@holymoly1965 Es demoralisiert mich so, dass unser Staat uns nicht vor den Islamisten und den Rapefugees schützt."
748127888608755712,,None,Berlin | Germany,"@ZDFheute Dolle Idee. Hoffen wir mal, daß wir uns nie gegen ein islamisches Land verteidigen müssen. #stopislam #banislam"
748092593150517248,,None,Deutschland,Asylpolitik wurde soeben publiziert! https://t.co/7R9MzmESYb Vielen Dank an @reporterjuergen @chr_liberal #refugeecrisis #istanbul
748072547363749888,,None,,RT @mundaufmachen: .@BonkeKolja Freispruch bei #Kindesmissbrauch (Sex mit Kind unter 14J). ): Freibrief für islamische #rapefugees. #dreize…
748070071398957056,,None,"Var, Provence-Alpes-Côte d'Azu",RT @mundaufmachen: .@BonkeKolja Freispruch bei #Kindesmissbrauch (Sex mit Kind unter 14J). ): Freibrief für islamische #rapefugees. #dreize…
748068212538023936,,None,,RT @mundaufmachen: .@BonkeKolja Freispruch bei #Kindesmissbrauch (Sex mit Kind unter 14J). ): Freibrief für islamische #rapefugees. #dreize…
748068039174807552,,None,"Bavaria, Germany",RT @mundaufmachen: .@BonkeKolja Freispruch bei #Kindesmissbrauch (Sex mit Kind unter 14J). ): Freibrief für islamische #rapefugees. #dreize…
748067825466675200,,None,,RT @mundaufmachen: .@BonkeKolja Freispruch bei #Kindesmissbrauch (Sex mit Kind unter 14J). ): Freibrief für islamische #rapefugees. #dreize…
