name	lat	lon	einwohner	typ
northeim	51.7005131180301	9.99606332275391	30973	Stadt
uslar	51.66051	9.63797999999997	16130	Stadt
bad grund (harz)	51.80965	10.2375099999999	2665	Bergstadt
bad lauterberg im harz	51.62533	10.4615	12023	Stadt
bad sachsa	51.5968435140671	10.5559258306885	8335	Stadt
gittelde	51.7975	10.18756	2131	Flecken
herzberg am harz	51.6517945904597	10.3375441693115	15113	Stadt
osterode am harz	51.72975	10.25836	24845	Stadt
peine	52.3203686955316	10.2434337619018	49810	Stadt
hornburg, kreis wolfenbüttel	52.03123	10.60537	2784	Stadt
schöppenstedt	52.14519	10.77522	6032	Stadt
wolfenbüttel, niedersachsen	52.1641770399212	10.5403770846558	54730	Stadt
hannover	52.3705	9.7332	515841	Landeshauptstadt
barsinghausen	52.2966	9.48058000000003	34253	Stadt
burgdorf, kreis hannover	52.44724	10.00535	30304	Stadt
burgwedel	52.52975	9.79805999999996	20473	Stadt
garbsen	52.43648	9.60527999999999	63208	Stadt
gehrden / hannover	52.31227	9.60063000000002	14836	Stadt
hemmingen / hannover	52.3220822491819	9.72986203704841	18447	Stadt
laatzen bei hannover	52.30854	9.80900999999994	40021	Stadt
langenhagen, hannover	52.4480121821382	9.74497890472412	50516	Stadt
lehrte bei hannover	52.3751	9.97721999999999	44045	Stadt
neustadt am rübenberge	52.50378	9.44978000000003	45711	Stadt
pattensen bei hannover	52.26528	9.76134999999999	13435	Stadt
ronnenberg	52.3183264778189	9.65459194183347	23186	Stadt
seelze	52.39501	9.59397000000001	33206	Stadt
sehnde	52.31756	9.96745999999996	22198	Stadt
springe, deister	52.21091	9.55329000000006	29823	Stadt
wunstorf	52.4213301	9.43474	41982	Stadt
barenburg bei sulingen	52.61946	8.80119999999999	1325	Flecken
barnstorf, kreis diepholz	52.7066	8.49793	5970	Flecken
bassum	52.85034	8.7287	16155	Stadt
bruchhausen-vilsen	52.82809	8.99185999999997	6128	Flecken
diepholz	52.60584	8.37071000000003	16542	Stadt
lemförde	52.46457	8.37473999999997	2733	Flecken
siedenburg	52.69184	8.94102999999996	1293	Flecken
sulingen	52.68331	8.81092999999998	12742	Stadt
syke	52.91286	8.81781999999998	24233	Stadt
twistringen	52.79709	8.63827000000003	12518	Stadt
hameln-pyrmont	52.0895875	9.3875	148815	Kreis
aerzen	52.04793	9.26021000000003	12003	Flecken
bad münder am deister	52.1996701	9.46638000000007	18813	Stadt
bad pyrmont	51.98679	9.25214000000005	21586	Stadt
coppenbrügge	52.11779	9.54615000000001	8016	Flecken
hameln	52.10887	9.36589000000004	58676	Stadt
hessisch oldendorf	52.17203	9.24576000000002	19973	Stadt
salzhemmendorf	52.0664361798423	9.58847984130853	10755	Flecken
alfeld (leine)	51.9836964659436	9.83315833862298	21197	Stadt
bad salzdetfurth	52.05813	10.0106900000001	14527	Stadt
bockenem	52.00976	10.13298	11349	Stadt
eime	52.0731	9.72343000000001	2958	Flecken
elze, leine	52.12122	9.73824000000002	9677	Stadt
gronau (leine)	52.08511	9.78341	5487	Stadt
hildesheim	52.14135	9.96602000000007	99224	Stadt
lamspringe	51.96084	10.01181	3380	Flecken
sarstedt	52.23726	9.85436000000004	18237	Stadt
duingen	52.00522	9.69731000000002	3029	Flecken
bevern, kreis holzminden	51.8574	9.49436000000003	4390	Flecken
bodenwerder	51.97991	9.50916000000007	6337	Stadt
delligsen	51.94123	9.80201	9101	Flecken
eschershausen, ith	51.9296	9.63922000000002	4086	Stadt
holzminden	51.82612	9.46006	20866	Stadt
lauenförde	51.65954	9.38643000000002	2686	Flecken
ottenstein, niedersachsen	51.9458205748092	9.4083255767822	1357	Flecken
polle, weser	51.8979874515922	9.40317573547361	1290	Flecken
stadtoldendorf	51.8826255600708	9.62837066650388	6360	Stadt
bücken bei hoya	52.77950	9.13844	2267	Flecken
diepenau	52.42176	8.73274000000004	4105	Flecken
drakenburg	52.6911674248685	9.22883532806395	1723	Flecken
hoya, weser	52.80650	9.13957	3914	Stadt
liebenau, kreis nienburg	52.6063866410104	9.08711796295165	4119	Flecken
nienburg (weser)	52.64930	9.23655	32691	Stadt
rehburg-loccum	52.4508	9.20787	11054	Stadt
steyerberg	52.58460	8.99484	5388	Flecken
uchte	52.49920	8.90905	4987	Flecken
bad nenndorf	52.3407	9.36717	10062	Stadt
bückeburg	52.28450	9.04948	20883	Stadt
hagenburg bei wunstorf	52.43410	9.33170	4497	Flecken
lauenau	52.27820	9.37850	3923	Flecken
obernkirchen	52.26650	9.11775	10201	Stadt
rinteln	52.20205	9.07592	28012	Stadt
rodenberg, deister	52.31780	9.34999	6008	Stadt
sachsenhagen	52.39010	9.24729	2091	Stadt
stadthagen	52.31370	9.21318	23157	Stadt
wiedensahl	52.38250	9.11936	1029	Flecken
bergen (kreis celle)	52.80974	9.96279000000004	13491	Stadt
celle	52.61709	10.0635	71536	Stadt
bad bederkesa	53.62643	8.84382000000005	5215	Flecken
beverstedt	53.4311	8.82124999999996	4393	Flecken
cuxhaven	53.8618	8.69359	52567	Stadt
hemmoor	53.69002	9.15252	8743	Stadt
langen bei bremerhaven	53.61027	8.60697000000005	18506	Stadt
neuhaus (oste)	53.8015	9.03311	1265	Flecken
otterndorf, niederelbe	53.80827	8.89921	6817	Stadt
buchholz in der nordheide	53.26606	9.883103	37556	Stadt
winsen (luhe)	53.36523	10.20917	32674	Stadt
bergen an der dumme	52.88970	10.94180	1572	Flecken
clenze	52.94740	10.92950	2392	Flecken
dannenberg (elbe)	53.09040	11.09240	8727	Stadt
gartow, elbe	53.0052558798983	11.4043849731445	1437	Flecken
hitzacker (elbe)	53.15980	10.99950	5069	Stadt
lüchow (wendland)	52.9694	11.15616	9801	Stadt
schnackenburg	53.0377386056206	11.5618076507568	678	Stadt
wustrow (wendland)	52.9231	11.1294800000001	3141	Stadt
artlenburg	53.37176	10.48788	1562	Flecken
bardowick	53.2957936374866	10.3866473968505	5481	Flecken
bleckede	53.28701	10.7323	9708	Stadt
dahlenburg	53.18829	10.73804	3426	Flecken
lüneburg	53.24682	10.41178	71306	Stadt
osterholz-scharmbeck	53.22769	8.78381999999999	31145	Stadt
bremervörde	53.48757	9.13896999999997	19248	Stadt
rotenburg an der wümme	53.10845	9.39648999999997	22093	Stadt
visselhövede	52.9866701	9.58362	10707	Stadt
zeven	53.2953	9.27550999999994	12133	Stadt
ahlden (aller)	52.75847	9.55070999999998	1491	Flecken
bad fallingbostel	52.8670367866708	9.6955797195435	11808	Stadt
munster, Örtze	52.98887	10.0891300000001	17845	Stadt
rethem (aller)	52.78518	9.37835999999993	2509	Stadt
schneverdingen	53.11642	9.79201	18931	Stadt
soltau	52.98414	9.84249	22032	Stadt
walsrode	52.86191	9.59280999999999	24373	Stadt
buxtehude	53.47632	9.70545	37901	Stadt
