"48.1351253, 11.5819806"
"52.52000659999999, 13.404954"
"52.5497162, 11.9705061"
"49.8454938, 9.608814599999999"
"52.52000659999999, 13.404954"
"52.52000659999999, 13.404954"
"53.5510846, 9.9936818"
"49.3987524, 8.6724335"
"51.4969802, 11.9688029"
"53.5510846, 9.9936818"
"53.5510846, 9.9936818"
"52.52000659999999, 13.404954"
"54.0688949, 12.1240876"
"52.52000659999999, 13.404954"
"52.5497162, 11.9705061"
"48.51634000000001, 13.8740607"
"48.51634000000001, 13.8740607"
"48.51634000000001, 13.8740607"
"50.1264123, 8.9283105"
